"","Item_Number","Set_Name","Amazon_Price","Year","Pages","unique_pieces","Theme","Pieces","Price","Ages","Minifigures","Packaging","Weight","Availability","Size"
"1","10270","Bookshop",NA,2020,NA,"562","Creator Expert","2504",NA,"Ages_16+","5,","Box","2.95Kg (6.49 lb)","LEGO exclusive","Small"
"2","10271","Fiat 500",NA,2020,NA,"269","Creator Expert","960",NA,"Ages_16+",NA,"Box","1.11Kg (2.44 lb)","LEGO exclusive","Small"
"3","10272","Old Trafford - Manchester United",NA,2020,NA,"333","Creator Expert","3898",NA,"Ages_16+",NA,"Box","NA","LEGO exclusive","Small"
"4","10273","Haunted House",NA,2020,NA,"467","Icons","3231",NA,"Ages_18+","10,","Box","NA","LEGO exclusive","Small"
"5","10274","Ghostbusters ECTO-1",NA,2020,NA,"569","Icons","2352",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"6","10275","Elf Club House",NA,2020,NA,"377","Icons","1197",NA,"Ages_18+","4,","Box","1.32Kg (2.92 lb)","LEGO exclusive","Small"
"7","10276","Colosseum",NA,2020,NA,"220","Icons","9036",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"8","10277","Crocodile Locomotive",NA,2020,NA,"212","Icons","1271",NA,"Ages_18+","2,","Box","1.54Kg (3.39 lb)","LEGO exclusive","Small"
"9","10278","Police Station","-",2021,NA,"580","Icons","2923",NA,"Ages_18+","5,","Box","4.01Kg (8.84 lb)","LEGO exclusive","Small"
"10","10279","Volkswagen T2 Camper Van",NA,2021,NA,"535","Icons","2207",NA,"Ages_18+",NA,"Box","2.94Kg (6.49 lb)","LEGO exclusive","Small"
"11","10280","Flower Bouquet","497.69 Kr",2021,NA,"81","Icons","756",NA,"Ages_18+",NA,"Box","0.76Kg (1.67 lb)","Retail","Small"
"12","10281","Bonsai Tree","518.27 Kr",2021,NA,"92","Icons","878",NA,"Ages_18+",NA,"Box","0.76Kg (1.67 lb)","Retail","Small"
"13","10282","Adidas Originals Superstar","-",2021,NA,"212","Icons","731",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"14","10283","NASA Space Shuttle Discovery","-",2021,NA,"519","Icons","2354",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"15","10284","Camp Nou - FC Barcelona","4164 Kr",2021,NA,"214","Icons","5509",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"16","10289","Bird of Paradise","1354 Kr*",2021,NA,"95","Icons","1173",NA,"Ages_18+",NA,"Box","1.36Kg (3 lb)","Retail","Small"
"17","10290","Pickup Truck","1354 Kr",2021,NA,"377","Icons","1677",NA,"Ages_18+",NA,"Box","1.98Kg (4.36 lb)","LEGO exclusive","Small"
"18","10291","Queer Eye – The Fab 5 Loft","-",2021,NA,"318","Icons","974",NA,"Ages_18+","7,","Box","NA","LEGO exclusive","Small"
"19","10292","The Friends Apartments","-",2021,NA,"536","Icons","2048",NA,"Ages_18+","7,","Box","2.74Kg (6.03 lb)","LEGO exclusive","Small"
"20","10293","Santa's Visit","-",2021,NA,"402","Icons","1445",NA,"Ages_18+","4,","Box","1.66Kg (3.65 lb)","LEGO exclusive","Small"
"21","10294","Titanic",NA,2021,NA,"690","Icons","9090",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"22","10295","Porsche 911","-",2021,NA,"382","Icons","1458",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
